,id,sg_uf,natureza_juridica_macro,setor,idade_empresa_anos,fl_rm,nm_segmento,de_saude_tributaria,nu_meses_rescencia,de_nivel_atividade,de_faixa_faturamento_estimado,vl_faturamento_estimado_aux
0,dabe79bec87c88ae04e869bf6bd321ee5e1893cecf66255be9ea861a9e5841a9,PI,OUTROS,COMERCIO,0.6465753424657534,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,CINZA,23.0,BAIXA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
1,32e5f4e10932153a7ba869cb0386e7e02d49d2461046b866411556d2af150702,MA,OUTROS,COMERCIO,6.586301369863015,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,VERDE,22.0,MEDIA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
2,a95d6f30bba445bd3d6b0c5b36f865b38ec01d1733609095d359649cfedf15d1,MA,OUTROS,COMERCIO,8.01095890410959,SIM,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,AZUL,24.0,MEDIA,"ATE R$ 81.000,00",50000.0
3,6cb309685cea0b6d2988818792ec2e6fcb2bd02e0afa9e74532d5040fbc933b8,RN,OUTROS,COMERCIO,20.863013698630137,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,VERDE,26.0,ALTA,"ATE R$ 81.000,00",50000.0
4,f72aa7fa6787b0a5a1c88885b6120850df8ee0f71adc251dfe8d321e9e6de7f5,RN,ENTIDADES EMPRESARIAIS,COMERCIO,18.72602739726027,SIM,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,VERDE,23.0,ALTA,"DE R$ 1.500.000,01 A R$ 4.800.000,00",3029140.8
5,f7e2894dce5dbb49662da50c55bcb96cdc3d34188abfe82d54ab6d94e7244d0c,MA,OUTROS,COMERCIO,6.238356164383561,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,AZUL,25.0,BAIXA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
6,f0c84600cbd2e126ee8314d22816368f33207e723a6ae7ae781582b320c29e4e,AM,OUTROS,COMERCIO,9.663013698630136,SIM,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,AZUL,21.0,ALTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
7,d0f8bc5c0e71600d303cacebb3e8e6fd9195322b2c1b15940863e2e980bb17a5,RN,OUTROS,COMERCIO,0.4958904109589041,SIM,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,CINZA,23.0,MEDIA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
8,b9b02480a757c3cc5054d6c01e44df62b22ea1328a874374abd49b7197b3d91c,MA,ENTIDADES EMPRESARIAIS,COMERCIO,1.1616438356164382,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,CINZA,11.0,ALTA,"DE R$ 360.000,01 A R$ 1.500.000,00",927288.0
9,7d58990ba786a3a26617a8afbf814a9919ab34aa09013a559b2c9d45eb439720,PI,ENTIDADES EMPRESARIAIS,COMERCIO,5.30958904109589,SIM,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,AZUL,23.0,MEDIA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
10,d37003c6e5d299c3fcd45f36ec6c26d39770f1d52edc415583f283c05bdd3f26,RO,ENTIDADES EMPRESARIAIS,INDUSTRIA,3.7561643835616434,NAO,INDUSTRIAS DE TRANSFORMACAO,VERDE,23.0,ALTA,"ATE R$ 81.000,00",51516.0
11,ca01d4352d5e77b8083bf9726ffdac787edff95983a2b515e9f8ad4d2bb1b1ca,MA,OUTROS,COMERCIO,4.780821917808218,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,VERDE,22.0,MEDIA,"ATE R$ 81.000,00",50000.0
12,43ab1321903c5c982e7236a4d6a07dad71b3146cdfdd96eae2af74fb67105f3d,MA,OUTROS,COMERCIO,7.186301369863013,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,VERDE,24.0,MEDIA,"ATE R$ 81.000,00",50000.0
13,fa2a153f8449584ae3f0e8252a56fa4309509506c921c3e1a4236b3f28cdd04a,MA,OUTROS,INDUSTRIA,20.572602739726022,SIM,INDUSTRIAS DE TRANSFORMACAO,LARANJA,26.0,MEDIA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
14,e07a41f29767241650ff6953e236e8647c496b4e6a243fba513bea56698bc71c,PI,ENTIDADES EMPRESARIAIS,COMERCIO,23.98630136986301,SIM,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,LARANJA,21.0,BAIXA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
15,48a35ddd6e719389772bad36c40baac6c825b9889efdc5d59b5628692cc89a96,RO,OUTROS,COMERCIO,0.23835616438356164,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,OUTRO,23.0,SEM INFORMACAO,SEM INFORMACAO,210000.0
16,6acb7ad626bce2a3573df9be04af2b405c84dc630b9087030031e40e9fbb08a4,RO,OUTROS,COMERCIO,33.69315068493151,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,VERDE,23.0,ALTA,"DE R$ 360.000,01 A R$ 1.500.000,00",1112745.6
17,7916d9657ba20f9da81d02b21c76cc1b9fc001050a5c522a874f65e12f94cc19,MA,OUTROS,COMERCIO,17.219178082191778,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,AZUL,23.0,MEDIA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
18,5b99af37fce3644d9aaff1bd8a00e5b3d66f0dcd52b687dcc0f47aab325964b0,RN,OUTROS,COMERCIO,8.12054794520548,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,AMARELO,24.0,MEDIA,"ATE R$ 81.000,00",50000.0
19,013ce96aef919fb847b8f0cfc882a1ebad64e291e78ff61a1988ac3d30c0fe39,AM,OUTROS,COMERCIO,19.88493150684932,SIM,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,AZUL,22.0,ALTA,"DE R$ 360.000,01 A R$ 1.500.000,00",1298203.2
20,92ae6033b7b0586433228a2ae7efca4fb7d671d974a01710d270abae2e365f17,MA,OUTROS,COMERCIO,0.8328767123287671,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,CINZA,7.0,BAIXA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0
21,fc6969bffd9f104e3a148ad7df64b338ca885dd6a5aa5153b4754bd55746d638,PI,OUTROS,COMERCIO,5.326027397260273,NAO,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,VERDE,23.0,MEDIA,"ATE R$ 81.000,00",50000.0
